locus_tag	ID	Name	Dbxref	gbkey	gene	description
CCNA_00029	gene33	CCNA_00029	GeneID:7332119	Gene	NA	lysine exporter protein;protein_id=YP_002515404.1;
CCNA_00030	gene34	CCNA_00030	GeneID:7332120	Gene	NA	ribonuclease T2;protein_id=YP_002515405.1;
CCNA_00031	gene35	vapC	GeneID:7332121	Gene	vapC	toxin protein VapC;protein_id=YP_002515406.1;
CCNA_00032	gene36	vapB	GeneID:7332122	Gene	vapB	antitoxin protein VapB;protein_id=YP_002515407.1;
CCNA_00033	gene38	CCNA_00033	GeneID:7332123	Gene	NA	polyribonucleotide nucleotidyltransferase/polynucleotide adenylyltransferase;protein_id=YP_002515408.1;
CCNA_00034	gene39	CCNA_00034	GeneID:7332124	Gene	NA	SSU ribosomal protein S15P;protein_id=YP_002515409.1;
CCNA_00035	gene40	CCNA_00035	GeneID:7332125	Gene	NA	tRNA pseudouridine synthase B;protein_id=YP_002515410.1;
CCNA_00036	gene41	CCNA_00036	GeneID:7332126	Gene	NA	NA
CCNA_00037	gene42	CCNA_00037	GeneID:7332127	Gene	NA	esterase lipase family protein;protein_id=YP_002515412.1;
CCNA_00038	gene43	CCNA_00038	GeneID:7332128	Gene	NA	hypothetical protein;protein_id=YP_002515413.1;
CCNA_00039	gene44	CCNA_00039	GeneID:7332129	Gene	NA	hypothetical protein;protein_id=YP_002515414.1;
CCNA_00040	gene45	CCNA_00040	GeneID:7332130	Gene	NA	YcxB-like membrane protein;protein_id=YP_002515415.2;
CCNA_00041	gene46	CCNA_00041	GeneID:7332131	Gene	NA	NA
CCNA_00042	gene48	CCNA_00042	GeneID:7332132	Gene	NA	RNA-binding protein%2C YlxR family;protein_id=YP_002515417.1;
CCNA_00043	gene49	nusA	GeneID:7332133	Gene	nusA	NA
CCNA_00044	gene50	CCNA_00044	GeneID:7332134	Gene	NA	ribosome maturation protein RimP;protein_id=YP_002515419.1;
CCNA_00045	gene51	CCNA_00045	GeneID:7332135	Gene	NA	inorganic pyrophosphatase;protein_id=YP_002515420.1;
CCNA_00046	gene52	CCNA_00046	GeneID:7332136	Gene	NA	hypothetical protein;protein_id=YP_002515421.1;
CCNA_00047	gene53	CCNA_00047	GeneID:7332137	Gene	NA	tRNA m7-G46 methyltransferase;protein_id=YP_002515422.1;
CCNA_00048	gene54	metK	GeneID:7332138	Gene	metK	S-adenosylmethionine synthetase;protein_id=YP_002515423.1;
CCNA_00049	gene55	hipB	GeneID:7332139	Gene	hipB	HTH transcriptional regulator;protein_id=YP_002515424.1;
CCNA_00050	gene56	CCNA_00050	GeneID:7332140	Gene	NA	apolipoprotein N-acyltransferase;protein_id=YP_002515425.1;
CCNA_00051	gene57	corC	GeneID:7332141	Gene	corC	magnesium and cobalt efflux protein CorC;protein_id=YP_002515426.1;
CCNA_00052	gene58	CCNA_00052	GeneID:7332142	Gene	NA	metal-dependent hydrolase/metalloproteinase;protein_id=YP_002515427.3;
CCNA_00053	gene59	phoH	GeneID:7332143	Gene	phoH	phosphate starvation-inducible protein PhoH;protein_id=YP_002515428.1;
CCNA_00054	gene60	phoH	GeneID:7332144	Gene	phoH	tRNA 2-methylthioadenosine synthase;protein_id=YP_002515429.1;
CCNA_00055	gene61	CCNA_00055	GeneID:7332145	Gene	NA	ferric uptake regulation protein;protein_id=YP_002515430.1;
CCNA_00056	gene62	CCNA_00056	GeneID:7332146	Gene	NA	ribosomal-protein-S18-alanine acetyltransferase;protein_id=YP_002515431.1;
CCNA_00057	gene63	CCNA_00057	GeneID:7332147	Gene	NA	NA
CCNA_00058	gene64	CCNA_00058	GeneID:7332148	Gene	NA	NA
CCNA_00059	gene65	CCNA_00059	GeneID:7332149	Gene	NA	NA
CCNA_00060	gene66	CCNA_00060	GeneID:7332150	Gene	NA	NA
CCNA_00061	gene67	CCNA_00061	GeneID:7332151	Gene	NA	cytochrome p450;protein_id=YP_002515436.2;
CCNA_00062	gene68	trpS	GeneID:7332152	Gene	trpS	tryptophanyl-tRNA synthetase;protein_id=YP_002515437.1;
CCNA_00063	gene70	mviN	GeneID:7332153	Gene	mviN	MviN-family integral membrane protein;protein_id=YP_002515438.1;
CCNA_00064	gene71	CCNA_00064	GeneID:7332154	Gene	NA	methyl-accepting chemotaxis protein;protein_id=YP_002515439.1;
CCNA_00065	gene73	CCNA_00065	GeneID:7332155	Gene	NA	S-adenosylmethionine-dependent methyltransferase;protein_id=YP_002515440.1;
CCNA_00066	gene74	CCNA_00066	GeneID:7332156	Gene	NA	NA
CCNA_00067	gene75	CCNA_00067	GeneID:7332157	Gene	NA	YciI-like protein;protein_id=YP_002515442.1;
CCNA_00068	gene76	gpsA	GeneID:7332158	Gene	gpsA	NA
CCNA_00069	gene77	gpsA	GeneID:7332159	Gene	gpsA	NA
CCNA_00070	gene78	CCNA_00070	GeneID:7332160	Gene	NA	porphobilinogen deaminase;protein_id=YP_002515445.1;
CCNA_00071	gene79	CCNA_00071	GeneID:7332161	Gene	NA	uroporphyrinogen-III synthase;protein_id=YP_002515446.1;
CCNA_00072	gene80	CCNA_00072	GeneID:7332162	Gene	NA	NA
CCNA_00073	gene81	CCNA_00073	GeneID:7332163	Gene	NA	HemY domain membrane protein;protein_id=YP_002515448.1;
CCNA_00074	gene83	CCNA_00074	GeneID:7332165	Gene	NA	multifunctional fatty acid oxidation complex subunit alpha FadJ;protein_id=YP_002515449.1;
CCNA_00075	gene84	CCNA_00075	GeneID:7332166	Gene	NA	3-ketoacyl-CoA thiolase;protein_id=YP_002515450.1;
CCNA_00076	gene85	CCNA_00076	GeneID:7332167	Gene	NA	hypothetical protein;protein_id=YP_002515451.1;
CCNA_00077	gene86	CCNA_00077	GeneID:7332168	Gene	NA	acyl-CoA dehydrogenase%2C long-chain specific;protein_id=YP_002515452.1;
CCNA_00078	gene87	CCNA_00078	GeneID:7332169	Gene	NA	NA
CCNA_00079	gene88	CCNA_00079	GeneID:7332170	Gene	NA	MerR-family transcriptional regulator;protein_id=YP_002515454.1;
CCNA_00080	gene89	CCNA_00080	GeneID:7332171	Gene	NA	LexA-related transcriptional repressor;protein_id=YP_002515455.1;
CCNA_00081	gene90	CCNA_00081	GeneID:7332172	Gene	NA	hypothetical protein;protein_id=YP_002515456.1;
CCNA_00082	gene91	lysS	GeneID:7332173	Gene	lysS	class 1 lysyl-tRNA synthetase;protein_id=YP_002515457.1;
CCNA_00083	gene92	CCNA_00083	GeneID:7332174	Gene	NA	NA
CCNA_00084	gene93	purH	GeneID:7332175	Gene	purH	NA
CCNA_00085	gene94	CCNA_00085	GeneID:7332176	Gene	NA	dienelactone hydrolase-related protein;protein_id=YP_002515460.1;
CCNA_00086	gene95	CCNA_00086	GeneID:7332177	Gene	NA	NAD-specific glutamate dehydrogenase GdhZ;protein_id=YP_002515461.1;
CCNA_00087	gene97	CCNA_00087	GeneID:7332179	Gene	NA	conserved membrane spanning protein;protein_id=YP_002515462.1;
CCNA_00088	gene98	CCNA_00088	GeneID:7330130	Gene	NA	HerA helicase-related ATPase;protein_id=YP_002515463.2;
CCNA_00089	gene99	CCNA_00089	GeneID:7332343	Gene	NA	MHYT/PAS-family GGDEF/EAL protein;protein_id=YP_002515464.1;
CCNA_00090	gene100	CCNA_00090	GeneID:7332344	Gene	NA	UDP-glucose 4-epimerase;protein_id=YP_002515465.1;
CCNA_00091	gene101	CCNA_00091	GeneID:7332345	Gene	NA	NA
CCNA_00092	gene102	CCNA_00092	GeneID:7332346	Gene	NA	short chain dehydrogenase;protein_id=YP_002515467.1;
CCNA_00093	gene103	CCNA_00093	GeneID:7332347	Gene	NA	hypothetical protein;protein_id=YP_002515468.1;
CCNA_00094	gene104	hfsJ	GeneID:7332348	Gene	hfsJ	WecG/TagA-family glycosyltransferase HfsJ;protein_id=YP_002515469.1;
CCNA_00095	gene105	CCNA_00095	GeneID:7332349	Gene	NA	NA
CCNA_00096	gene106	CCNA_00096	GeneID:7332350	Gene	NA	L-asparaginase;protein_id=YP_002515471.1;
CCNA_00097	gene107	CCNA_00097	GeneID:7332351	Gene	NA	hypothetical protein;protein_id=YP_002515472.1;
CCNA_00098	gene108	CCNA_00098	GeneID:7332352	Gene	NA	hypothetical protein;protein_id=YP_002515473.1;
CCNA_00099	gene109	fzlC	GeneID:7332353	Gene	fzlC	FtsZ-binding protein FzlC;protein_id=YP_002515474.1;
CCNA_00100	gene110	CCNA_00100	GeneID:7332354	Gene	NA	Ribulose-5-phosphate 3-epimerase;protein_id=YP_002515475.2;
CCNA_00101	gene111	rsmB	GeneID:7332355	Gene	rsmB	16S rRNA m5C methyltransferase RsmB;protein_id=YP_002515476.1;
CCNA_00102	gene112	CCNA_00102	GeneID:7332356	Gene	NA	hypothetical protein;protein_id=YP_002515477.2;
CCNA_00103	gene113	CCNA_00103	GeneID:7332357	Gene	NA	NA
CCNA_00104	gene114	CCNA_00104	GeneID:7332358	Gene	NA	orotidine 5-phosphate decarboxylase;protein_id=YP_002515479.1;
CCNA_03425	hypothetical protein;protein_id=YP_002518798.1;
CCNA_03553	diadenosine tetraphosphate (Ap4A) hydrolase;protein_id=YP_002518926.1;
CCNA_00170	TonB-dependent receptor;protein_id=YP_002515545.1;
CCNA_01808	lysophospholipase L2;protein_id=YP_002517181.1;
CCNA_02113	aspartate racemase;protein_id=YP_002517486.1;
CCNA_00290	autotransporter protein;protein_id=YP_002515665.2;
CCNA_00043	N utilization substance protein A NusA;protein_id=YP_002515418.1;
CCNA_03560	ATP synthase beta chain;protein_id=YP_002518933.1;
CCNA_00221	hypothetical protein;protein_id=YP_002515596.2;
CCNA_01972	anthranilate synthase component I;protein_id=YP_002517345.1;
CCNA_01954	ribonuclease E;protein_id=YP_002517327.1;
CCNA_00384	glucan endo-1%2C3-beta-glucosidase;protein_id=YP_002515759.1;
CCNA_01898	Mg-dependent Dnase TatD;protein_id=YP_002517271.1;
CCNA_00485	ribosomal large subunit pseudouridine synthase D;protein_id=YP_002515858.1;
CCNA_01314	LSU ribosomal protein L29P;protein_id=YP_002516687.1;
CCNA_00160	methyl-accepting chemotaxis protein;protein_id=YP_002515535.1;
CCNA_01543	chaperone protein dnaK;protein_id=YP_002516916.1;
CCNA_01222	NADH-ubiquinone oxidoreductase;protein_id=YP_002516595.1;
CCNA_01310	SSU ribosomal protein S19P;protein_id=YP_002516683.1;
CCNA_03233	Acetyl ornithine aminotransferase;protein_id=YP_002518606.1;
CCNA_03678	putative outer membrane protein;protein_id=YP_002519051.2;
CCNA_02098	molybdopterin-guanine dinucleotide biosynthesis protein A;protein_id=YP_002517471.1;
CCNA_03649	Ser/Thr kinase-related phosphotransferase;protein_id=YP_002519022.1;
CCNA_03360	tagatose-1%2C6-bisphosphate aldolase;protein_id=YP_002518732.1;
CCNA_00036	ribosome-binding factor A;protein_id=YP_002515411.1;
CCNA_00990	general stress protein 17O;protein_id=YP_002516363.1;
CCNA_01727	methyl-accepting chemotaxis protein;protein_id=YP_002517100.2;
CCNA_00068	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase;protein_id=YP_002515443.1;
CCNA_00740	riboflavin kinase/FMN adenylyltransferase;protein_id=YP_002516113.1;
CCNA_01267	NTF2 superfamily protein;protein_id=YP_002516640.1;
CCNA_01313	LSU ribosomal protein L16P;protein_id=YP_002516686.1;
CCNA_01976	Indole-3-glycerol phosphate synthase;protein_id=YP_002517349.1;
CCNA_02387	glutathione reductase;protein_id=YP_002517760.1;
CCNA_02651	drug/metabolite transporter (DMT) family protein;protein_id=YP_002518024.1;
CCNA_03938	hypothetical protein;protein_id=YP_009020510.1;
CCNA_02511	polysaccharide polymerase hfsC;protein_id=YP_002517884.1;
CCNA_01649	transporter%2C drug/metabolite exporter family;protein_id=YP_002517022.1;
CCNA_03648	YjeE family ATPase;protein_id=YP_002519021.1;
CCNA_02518	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B;protein_id=YP_002517891.3;
CCNA_01765	peptidase inhibitor%2C I78 family;protein_id=YP_002517138.1;
CCNA_01729	transporter%2C sodium/bile acid symporter family;protein_id=YP_002517102.1;
CCNA_01622	Rsh ppGpp hydrolase-synthetase;protein_id=YP_002516995.1;
CCNA_03768	signal recognition particle GTPase%2C SRP;protein_id=YP_002519141.1;
CCNA_01690	MAPEG family membrane protein;protein_id=YP_002517063.1;
CCNA_03506	putative transcriptional regulator;protein_id=YP_002518879.1;
CCNA_02014	Biotin-(acetyl-CoA carboxylase) ligase;protein_id=YP_002517387.1;
CCNA_01433	integration host factor alpha-subunit;protein_id=YP_002516806.1;
CCNA_03437	hypothetical protein;protein_id=YP_002518810.1;
CCNA_01774	phosphoribosylglycinamide formyltransferase;protein_id=YP_002517147.1;
CCNA_03798	tRNA 2-methylthioadenosine synthase-like protein;protein_id=YP_002519171.1;
CCNA_01717	hypothetical protein;protein_id=YP_002517090.1;
CCNA_01746	malonyl-CoA-(acyl-carrier-protein) transacylase FabD;protein_id=YP_002517119.1;
CCNA_01681	RimI-like acetyltransferase;protein_id=YP_002517054.1;
CCNA_03500	FAD/FMN-containing dehydrogenase;protein_id=YP_002518873.1;
CCNA_02885	isochorismatase family protein;protein_id=YP_002518258.1;
CCNA_01949	bactofilin A BacA;protein_id=YP_002517322.1;
CCNA_02127	oxacillin resistance-associated protein fmtC;protein_id=YP_002517500.1;
CCNA_01228	pyrazinamidase/nicotinamidase;protein_id=YP_002516601.1;
CCNA_01899	DNA polymerase III%2C delta subunit;protein_id=YP_002517272.1;
CCNA_00105	gene115	CCNA_00105	GeneID:7332359	Gene	NA	MarC family integral membrane protein;protein_id=YP_002515480.1;
CCNA_00106	gene116	CCNA_00106	GeneID:7332360	Gene	NA	2-polyprenyl-6-methoxyphenol hydroxylase;protein_id=YP_002515481.1;
CCNA_00107	gene117	CCNA_00107	GeneID:7332361	Gene	NA	Trm112p-like protein;protein_id=YP_002515482.1;
CCNA_00108	gene118	CCNA_00108	GeneID:7332362	Gene	NA	lon endopeptidase-related protein;protein_id=YP_002515483.1;
CCNA_00109	gene119	CCNA_00109	GeneID:7332363	Gene	NA	NA
CCNA_00110	gene120	CCNA_00110	GeneID:7332364	Gene	NA	DNA-binding protein;protein_id=YP_002515485.1;
CCNA_00111	gene121	CCNA_00111	GeneID:7332365	Gene	NA	hypothetical protein;protein_id=YP_002515486.1;
CCNA_00112	gene122	CCNA_00112	GeneID:7332366	Gene	NA	glyoxalase family protein;protein_id=YP_002515487.1;
CCNA_00113	gene123	CCNA_00113	GeneID:7332367	Gene	NA	hypothetical protein;protein_id=YP_002515488.1;
CCNA_00114	gene124	CCNA_00114	GeneID:7332368	Gene	NA	MarR/EmrR-family transcriptional regulator;protein_id=YP_002515489.1;
CCNA_00115	gene125	CCNA_00115	GeneID:7332369	Gene	NA	TolB protein;protein_id=YP_002515490.2;
CCNA_00116	gene127	CCNA_00116	GeneID:7332370	Gene	NA	phosphoglucosamine mutase;protein_id=YP_002515491.1;
CCNA_00117	gene128	CCNA_00117	GeneID:7332371	Gene	NA	glucosamine-fructose-6-phosphate aminotransferase%2C isomerizing;protein_id=YP_002515492.1;
CCNA_00118	gene129	CCNA_00118	GeneID:7332372	Gene	NA	porphyrin biosynthesis protein;protein_id=YP_002515493.1;
CCNA_00119	gene130	CCNA_00119	GeneID:7332373	Gene	NA	hypothetical protein;protein_id=YP_002515494.1;
CCNA_00120	gene131	CCNA_00120	GeneID:7332374	Gene	NA	putative acetyltransferase;protein_id=YP_002515495.1;
CCNA_00121	gene132	CCNA_00121	GeneID:7332375	Gene	NA	hypothetical protein;protein_id=YP_002515496.1;
CCNA_00122	gene133	CCNA_00122	GeneID:7332376	Gene	NA	NA
CCNA_00123	gene134	CCNA_00123	GeneID:7332377	Gene	NA	NA
CCNA_00124	gene135	CCNA_00124	GeneID:7332378	Gene	NA	hypothetical protein;protein_id=YP_002515499.2;
CCNA_00125	gene136	CCNA_00125	GeneID:7332379	Gene	NA	amino acid efflux permease;protein_id=YP_002515500.1;
CCNA_00126	gene137	CCNA_00126	GeneID:7332380	Gene	NA	glutathione S-transferase;protein_id=YP_002515501.1;
CCNA_00127	gene138	CCNA_00127	GeneID:7332381	Gene	NA	KTSC domain protein;protein_id=YP_002515502.1;
CCNA_00128	gene139	CCNA_00128	GeneID:7332382	Gene	NA	argininosuccinate synthase;protein_id=YP_002515503.1;
CCNA_00129	gene140	CCNA_00129	GeneID:7332383	Gene	NA	hypothetical protein;protein_id=YP_002515504.1;
CCNA_00130	gene141	CCNA_00130	GeneID:7332384	Gene	NA	Kup system potassium uptake protein;protein_id=YP_002515505.1;
CCNA_00131	gene142	CCNA_00131	GeneID:7332385	Gene	NA	Rrf2 family protein;protein_id=YP_002515506.1;
CCNA_00132	gene143	hetN	GeneID:7332386	Gene	hetN	ketoacyl reductase hetN;protein_id=YP_002515507.1;
CCNA_00133	gene144	CCNA_00133	GeneID:7332387	Gene	NA	NA
CCNA_00134	gene145	CCNA_00134	GeneID:7332388	Gene	NA	NA
CCNA_00135	gene146	CCNA_00135	GeneID:7332389	Gene	NA	trypsin-like peptidase;protein_id=YP_002515510.1;
CCNA_00136	gene147	CCNA_00136	GeneID:7332390	Gene	NA	AmpG protein;protein_id=YP_002515511.1;
CCNA_00137	gene148	shkA	GeneID:7332391	Gene	shkA	hybrid two-component histidine kinase/receiver protein ShkA;protein_id=YP_002515512.1;
CCNA_00138	gene149	CCNA_00138	GeneID:7332392	Gene	NA	TonB-dependent receptor;protein_id=YP_002515513.1;
CCNA_00139	gene150	chlI	GeneID:7332393	Gene	chlI	NA
CCNA_00140	gene151	CCNA_00140	GeneID:7332394	Gene	NA	glutathione synthetase;protein_id=YP_002515515.1;
CCNA_00141	gene152	CCNA_00141	GeneID:7332395	Gene	NA	tetratricopeptide repeat family protein;protein_id=YP_002515516.1;
CCNA_00142	gene153	CCNA_00142	GeneID:7332396	Gene	NA	NA
CCNA_00143	gene154	CCNA_00143	GeneID:7332397	Gene	NA	NA
CCNA_00144	gene155	CCNA_00144	GeneID:7332398	Gene	NA	oxygen-independent coproporphyrinogen-III oxidase;protein_id=YP_002515519.1;
CCNA_00145	gene156	CCNA_00145	GeneID:7332399	Gene	NA	NA
CCNA_00146	gene157	CCNA_00146	GeneID:7332400	Gene	NA	NA
CCNA_00147	gene158	CCNA_00147	GeneID:7332401	Gene	NA	hypothetical protein;protein_id=YP_002515522.2;
CCNA_00148	gene159	CCNA_00148	GeneID:7332402	Gene	NA	hypothetical protein;protein_id=YP_002515523.1;
CCNA_00149	gene160	CCNA_00149	GeneID:7332403	Gene	NA	Cro/CI-family transcriptional regulator;protein_id=YP_002515524.1;
CCNA_00150	gene161	CCNA_00150	GeneID:7332404	Gene	NA	PDZ domain family protein;protein_id=YP_002515525.1;
CCNA_00151	gene162	CCNA_00151	GeneID:7332405	Gene	NA	ribonuclease PH;protein_id=YP_002515526.1;
CCNA_00152	gene163	CCNA_00152	GeneID:7332406	Gene	NA	winged helix-turn-helix transcription repressor HrcA;protein_id=YP_002515527.1;
CCNA_00153	gene164	grpE	GeneID:7332407	Gene	grpE	adenine nucleotide exchange factor GrpE;protein_id=YP_002515528.1;
CCNA_00154	gene165	grpE	GeneID:7332408	Gene	grpE	hypothetical protein;protein_id=YP_002515529.1;
CCNA_00155	gene166	CCNA_00155	GeneID:7332409	Gene	NA	NA
CCNA_00156	gene167	CCNA_00156	GeneID:7332410	Gene	NA	ArsR-family transcriptional regulator;protein_id=YP_002515531.3;
CCNA_00157	gene168	CCNA_00157	GeneID:7332411	Gene	NA	glyoxalase family protein;protein_id=YP_002515532.1;
CCNA_00158	gene170	recF	GeneID:7332412	Gene	recF	DNA replication and repair protein recF;protein_id=YP_002515533.1;
CCNA_00159	gene171	gyrB	GeneID:7332413	Gene	gyrB	DNA gyrase subunit B;protein_id=YP_002515534.4;
CCNA_00160	gene172	CCNA_00160	GeneID:7332414	Gene	NA	NA
CCNA_00161	gene173	CCNA_00161	GeneID:7332415	Gene	NA	NA
CCNA_00162	gene174	CCNA_00162	GeneID:7332416	Gene	NA	hypothetical protein;protein_id=YP_002515537.1;
CCNA_00163	gene175	CCNA_00163	GeneID:7332417	Gene	NA	exopolysaccharide transport family protein;protein_id=YP_002515538.1;
CCNA_00164	gene176	CCNA_00164	GeneID:7332418	Gene	NA	NA
CCNA_00165	gene177	pssY	GeneID:7332419	Gene	pssY	polyisoprenylphosphate hexose-1-phosphotransferase pssY;protein_id=YP_002515540.2;
CCNA_00166	gene179	CCNA_00166	GeneID:7332420	Gene	NA	putative transglutaminase-like cysteine proteinase;protein_id=YP_002515541.1;
CCNA_00167	gene180	CCNA_00167	GeneID:7332421	Gene	NA	metallophosphatase family protein;protein_id=YP_002515542.1;
CCNA_00168	gene181	CCNA_00168	GeneID:7332422	Gene	NA	polysaccharide export protein;protein_id=YP_002515543.2;
CCNA_00169	gene182	CCNA_00169	GeneID:7332423	Gene	NA	hypothetical protein;protein_id=YP_002515544.1;
CCNA_00170	gene183	CCNA_00170	GeneID:7330214	Gene	NA	NA
CCNA_00171	gene184	CCNA_00171	GeneID:7330215	Gene	NA	type II secretion pathway protein C;protein_id=YP_002515546.1;
CCNA_00172	gene185	pulD	GeneID:7330216	Gene	pulD	type II secretion pathway protein D;protein_id=YP_002515547.1;
CCNA_00173	gene186	pulE	GeneID:7330217	Gene	pulE	type II secretion pathway protein E;protein_id=YP_002515548.1;
CCNA_00174	gene187	pulF	GeneID:7330218	Gene	pulF	type II secretion pathway protein F;protein_id=YP_002515549.1;
CCNA_00175	gene188	CCNA_00175	GeneID:7330219	Gene	NA	NA
CCNA_00176	gene189	CCNA_00176	GeneID:7330220	Gene	NA	NA
CCNA_00177	gene190	CCNA_00177	GeneID:7330221	Gene	NA	type II secretion pathway protein I;protein_id=YP_002515552.3;
CCNA_00178	gene191	CCNA_00178	GeneID:7330222	Gene	NA	type II secretion pathway protein J;protein_id=YP_002515553.1;
CCNA_00179	gene192	CCNA_00179	GeneID:7330223	Gene	NA	NA
CCNA_00180	gene193	CCNA_00180	GeneID:7330224	Gene	NA	NA
CCNA_00181	gene194	CCNA_00181	GeneID:7330225	Gene	NA	NA
CCNA_00182	gene195	CCNA_00182	GeneID:7330226	Gene	NA	NA
CCNA_00183	gene196	pulO	GeneID:7330227	Gene	pulO	NA
CCNA_00184	gene197	CCNA_00184	GeneID:7330228	Gene	NA	NA
CCNA_00185	gene198	CCNA_00185	GeneID:7330229	Gene	NA	NA
CCNA_00186	gene200	CCNA_00186	GeneID:7330231	Gene	NA	guanine-hypoxanthine permease;protein_id=YP_002515561.1;
CCNA_00187	gene201	CCNA_00187	GeneID:7330232	Gene	NA	NUP-family purine nucleoside permease;protein_id=YP_002515562.2;
CCNA_00188	gene202	CCNA_00188	GeneID:7330233	Gene	NA	ABC transporter ATP-binding protein;protein_id=YP_002515563.2;
CCNA_00189	gene203	CCNA_00189	GeneID:7330234	Gene	NA	zinc-finger domain protein;protein_id=YP_002515564.1;
CCNA_00190	gene204	CCNA_00190	GeneID:7330235	Gene	NA	NA
CCNA_00191	gene205	CCNA_00191	GeneID:7330236	Gene	NA	NA
CCNA_00192	gene206	CCNA_00192	GeneID:7330237	Gene	NA	long-chain-fatty-acid--CoA ligase;protein_id=YP_002515567.1;
CCNA_00193	gene207	leuB	GeneID:7330238	Gene	leuB	3-isopropylmalate dehydrogenase;protein_id=YP_002515568.1;
CCNA_00194	gene208	CCNA_00194	GeneID:7330239	Gene	NA	Antibiotic biosynthesis monooxygenase family protein;protein_id=YP_002515569.1;
CCNA_00195	gene209	leuD	GeneID:7330240	Gene	leuD	3-isopropylmalate dehydratase small subunit;protein_id=YP_002515570.1;
CCNA_00196	gene210	leuC	GeneID:7330241	Gene	leuC	NA
CCNA_00197	gene212	rplS	GeneID:7330243	Gene	rplS	NA
CCNA_00198	gene213	trmD	GeneID:7330244	Gene	trmD	tRNA (guanine-N1) -methyltransferase;protein_id=YP_002515573.1;
CCNA_00199	gene214	CCNA_00199	GeneID:7330245	Gene	NA	TadG/vWA-family protein;protein_id=YP_002515574.1;
CCNA_00200	gene215	CCNA_00200	GeneID:7330246	Gene	NA	2OG-Fe(II) oxygenase superfamily protein;protein_id=YP_002515575.3;
CCNA_00201	gene216	CCNA_00201	GeneID:7330247	Gene	NA	NA
CCNA_00202	gene217	CCNA_00202	GeneID:7330248	Gene	NA	DesA-family fatty acid desaturase;protein_id=YP_002515577.1;
